"發病年月日","確定病例數"
"20210101",5
"20210102",3
"20210103",2
"20210104",3
"20210105",3
"20210106",3
"20210107",7
"20210108",4
"20210109",4
"20210110",2
"20210111",4
"20210112",1
"20210113",3
"20210114",11
"20210115",3
"20210116",5
"20210117",3
"20210118",4
"20210119",5
"20210120",10
"20210121",2
"20210122",4
"20210123",1
"20210124",2
"20210125",4
"20210126",0
"20210127",6
"20210128",2
"20210129",4
"20210130",5
"20210131",0
"20210201",3
"20210202",1
"20210203",2
"20210204",4
"20210205",0
"20210206",0
"20210207",2
"20210208",1
"20210209",1
"20210210",1
"20210211",0
"20210212",0
"20210213",1
"20210214",0
"20210215",0
"20210216",1
"20210217",1
"20210218",1
"20210219",0
"20210220",0
"20210221",0
"20210222",1
"20210223",5
"20210224",0
"20210225",1
"20210226",3
"20210227",0
"20210228",1
"20210301",3
"20210302",0
"20210303",0
"20210304",8
"20210305",2
"20210306",5
"20210307",1
"20210308",0
"20210309",0
"20210310",3
"20210311",3
"20210312",3
"20210313",7
"20210314",1
"20210315",0
"20210316",5
"20210317",4
"20210318",3
"20210319",0
"20210320",0
"20210321",2
"20210322",3
"20210323",4
"20210324",7
"20210325",3
"20210326",2
"20210327",0
"20210328",2
"20210329",8
"20210330",4
"20210331",4
"20210401",7
"20210402",1
"20210403",2
"20210404",1
"20210405",1
"20210406",1
"20210407",2
"20210408",1
"20210409",2
"20210410",0
"20210411",1
"20210412",3
"20210413",2
"20210414",2
"20210415",2
"20210416",2
"20210417",5
"20210418",1
"20210419",6
"20210420",6
"20210421",1
"20210422",6
"20210423",4
"20210424",7
"20210425",3
"20210426",9
"20210427",4
"20210428",9
"20210429",9
"20210430",8
"20210501",17
"20210502",15
"20210503",18
"20210504",11
"20210505",18
"20210506",24
"20210507",32
"20210508",39
"20210509",49
"20210510",103
"20210511",126
"20210512",142
"20210513",244
"20210514",361
"20210515",525
"20210516",461
"20210517",553
"20210518",472
"20210519",410
"20210520",541
"20210521",514
"20210522",441
"20210523",399
"20210524",577
"20210525",560
"20210526",494
"20210527",443
"20210528",362
"20210529",310
"20210530",285
"20210531",378
"20210601",377
"20210602",379
"20210603",399
"20210604",250
"20210605",233
"20210606",191
"20210607",251
"20210608",255
"20210609",252
"20210610",221
"20210611",178
"20210612",173
"20210613",130
"20210614",92
"20210615",224
"20210616",184
"20210617",94
"20210618",118
"20210619",99
"20210620",46
"20210621",103
"20210622",108
"20210623",76
"20210624",68
"20210625",106
"20210626",68
"20210627",45
"20210628",50
"20210629",48
"20210630",53
"20210701",73
"20210702",45
